Book name,Prices,Audio Book Availability
39. QBQ! The Question Behind The Question – John G. Miller, Free App, None
16. Think and Grow Rich – Napoleon Hill, $2.90, None
43. The Four Agreements: A Practical Guide to Personal Freedom – Don Miguel Ruiz, $5.77, Available
27. The Richest Man in Babylon – George S. Clason, $5.89, None
45. How to Get a Grip – Matthew Kimberley, $6.53, None
91. Emotional Intelligence: 100+ Skills| Tips| Tricks & Techniques to Improve Interpersonal Connection| Control Your Emotions| Build Self Confidence & … Awareness| Emotions| Positive Psychology) – Kevin Moore, $6.95, None
57. The Gifts of Imperfection – Brene Brown, $6.96, Available
49. Quiet: The Power of Introverts in a World That Can’t Stop Talking, $7.30, None
59. The 5 Love Languages – Gary Chapman, $7.59, None
67. Tuesdays with Morrie: An Old Man| a Young Man| and Life’s Greatest Lesson – Mitch Albom, $7.67, None
55. Outliers – Malcolm Gladwell, $7.79, None
76. Thank You For Arguing: What Aristotle| Lincoln| And Homer Simpson Can Teach Us About the Art of Persuasion – Jay Heinrichs, $7.99, None
76. Thank You For Arguing: What Aristotle| Lincoln| And Homer Simpson Can Teach Us About the Art of Persuasion – Jay Heinrichs, $7.99, None
14. The Power of Now – Eckhart Tolle, $8.01, Available
13. Rich Dad| Poor Dad – Robert Kiyosaki, $8.70, None
32. Start With Why – Simon Sinek, $8.79, None
34. Yes! 50 Scientifically Ways to Be Persuasive – Noah J. Goldstein, $9.29, None
48. Stumbling on Happiness – Daniel Gilbert, $9.34, None
66. Will I Ever Be Good Enough? Healing the Daughters of Narcissistic Mothers – Dr. Karyl McBride| Ph.D., $9.39, None
53. Talk Like TED: The 9 Public-Speaking Secrets of the World’s Top Minds – Carmine Gallo, $9.44, None
79. Steal Like an Artist: 10 Things Nobody Told You About Being Creative – Austin Kleon, $9.79, None
25. Failing Forward – John C. Maxwell, $9.84, None
88. The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom – Jonathan Haidt, $9.99, Available
88. The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom – Jonathan Haidt, $9.99, Available
88. The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom – Jonathan Haidt, $9.99, Available
82. The New Psycho-Cybernetics – Maxwell Maltz, $10.29, None
28. MONEY Master the Game: 7 Simple Steps to Financial Freedom – Tony Robbins, $10.31, None
15. How to Win Friends and Influence People – Dale Carnegie, $10.40, None
24. Linchpin: Are You Indispensable – Seth Godin, $10.64, None
64. Unlimited Memory – Kevin Horsley, $10.89, None
19. The Power of Habit – Charles Duhigg, $10.95, None
19. The Power of Habit – Charles Duhigg, $10.95, None
97. The Willpower Instinct: How Self-Control Works| Why It Matters| and What You Can Do to Get More of It – Kelly McGonigal, $10.99, None
97. The Willpower Instinct: How Self-Control Works| Why It Matters| and What You Can Do to Get More of It – Kelly McGonigal, $10.99, None
97. The Willpower Instinct: How Self-Control Works| Why It Matters| and What You Can Do to Get More of It – Kelly McGonigal, $10.99, None
70. The Body Keeps the Score: Brain| Mind| and Body in the Healing of Trauma, $11.40, None
12. Thinking Fast and Slow – Daniel Kahneman, $11.54, Available
26. Getting Things Done: The Art of Stress-Free Productivity – David Allen, $11.67, None
83. Deep Work: Rules for Focused Success in a Distracted World – Cal Newport, $11.72, None
81. The Coaching Habit: Say Less| Ask More & Change the Way You Lead Forever – Michael Bungay Stanier, $11.88, None
47. The War of Art – Steven Pressfield, $11.91, None
56. How to Live a Good Life – Jonathan Fields, $11.96, None
17. What to Say When You Talk to Yourself – Dr. Shad Helmstetter, $11.99, None
60. Essentialism: The Disciplined Pursuit of Less – Greg McKeown, $12.58, None
35. The Invisible Gorilla: How Our Intuitions Deceive Us – Christopher Chabris and Daniel Simons, $12.67, None
23. Daring Greatly – Brene Brown, $12.75, Available
42. Learned Optimism: How to Change Your Mind and Your Life – Martin E. P. Seligman, $12.79, Available
42. Learned Optimism: How to Change Your Mind and Your Life – Martin E. P. Seligman, $12.79, Available
58. The Life-Changing Magic of Tidying Up – Marie Kondo, $12.82, None
11. The 80/20 Principle – Richard Koch, $12.89, None
85. The Peter Principle: Why Things Always Go Wrong – Laurence J. Peter, $12.92, None
85. The Peter Principle: Why Things Always Go Wrong – Laurence J. Peter, $12.92, None
22. The Art of Happiness – The Dalai Lama XIV, $12.99, None
93. The Little Book of Big Change: The No-Willpower Approach to Breaking Any Habit – Amy Johnson, $13.19, None
86. Brain Rules: 12 Principles for Surviving and Thriving at Work| Home| and School – John Medina, $13.65, None
98. Misbehaving: The Making of Behavioural Economics – Richard H. Thaler, $13.70, None
50. The Subtle Art of Not Giving a F*ck – Mark Manson, $13.76, None
31. The Drunkard’s Walk: How Randomness Rules Our Lives – Leonard Mlodinow, $13.79, None
18. Awaken the Giant Within – Anthony Robbins, $13.84, Available
95. Life Strategies: Doing What Works| Doing What Matters – Phillip C. McGraw, $13.97, None
77. On Fire: The 7 Choices to Ignite a Radically Inspired Life – John O’Leary, $13.99, None
100. Cheap: The High Cost of Discount Culture – Ellen Ruppel Shell, $14.49, None
8. The One Thing – Gary Keller, $14.51, None
10. Predictably Irrational – Dan Ariely, $14.63, Available
2. The 7 Habits of Highly Effective People – Stephen Covey, $14.76, None
51. Pre-Suasion: A Revolutionary Way to Influence and Persuade – Robert Cialdini, $14.90, None
89. Crucial Conversations Tools for Talking When Stakes Are High – Kerry Patterson, $14.94, None
90. Difficult Conversations: How To Discuss What Matters Most – Douglas Stone, $14.99, None
90. Difficult Conversations: How To Discuss What Matters Most – Douglas Stone, $14.99, None
90. Difficult Conversations: How To Discuss What Matters Most – Douglas Stone, $14.99, None
46. Prometheus Rising – Robert Anton Wilson, $15.23, None
63. It’s Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond – Julia Cameron, $15.29, None
41. Your Brain at Work – David Rock, $15.48, None
1. Man’s Search for Meaning – Viktor Frankl, $15.54, Available
80. What Got You Here Won’t Get You There: How successful people become even more successful – Marshall Goldsmith, $15.66, None
62. Feeling Good: The New Mood Therapy – David D. Burns, $15.69, None
52. Mastery – Robert Greene, $15.95, None
73. Be Obsessed or Be Average – Grant Cardone, $15.99, None
69. Dare: The New Way to End Anxiety and Stop Panic Attacks, $16.16, None
37. Getting to Yes: Negotiation Agreement Without Giving In – Roger Fisher, $16.20, None
3. Just Listen: Discover the Secret to Getting Through to Absolutely Anyone – Mark Goulston, $16.35, None
54. Succeed: How We Can Reach Our Goals – Heidi Grant Halvorson, $16.99, None
54. Succeed: How We Can Reach Our Goals – Heidi Grant Halvorson, $16.99, None
96. Pitch Anything: An Innovative Method for Presenting| Persuading| and Winning the Deal – Oren Klaff, $17.73, None
29. Eat That Frog! – Brian Tracy, $17.80, None
5. Fooled by Randomness – Nassim Nicholas Taleb, $17.99, None
99. Blur: How to Know What’s True in the Age of Information Overload – Bill Kovach, $18.00, None
99. Blur: How to Know What’s True in the Age of Information Overload – Bill Kovach, $18.00, None
92. First| Break All The Rules: What the World’s Greatest Managers Do Differently – James K. Harter, $18.26, None
20. The 4 Hour Workweek – Timothy Ferriss, $19.29, None
94. Power Questions: Build Relationships| Win New Business| and Influence Others – Andrew Sobel, $19.52, None
21. The Compound Effect – Darren Hardy, $19.70, None
65. The Book of Joy – Dalai Lama| Desmond Tutu, $19.99, None
44. 50 Great Myths of Popular Psychology: Shattering Widespread Misconceptions about Human Behaviour, $21.49, None
84. A Beautiful Constraint: How To Transform Your Limitations Into Advantages| and Why It’s Everyone’s Business, $21.99, None
78. Sleep Smarter: 21 Essential Strategies to Sleep Your Way to A Better Body| Better Health| and Bigger Success, $22.72, None
38. Winning – Jack Welch, $25.80, None
40. The Success Principles: How to Get from Where You Are to Where You Want to Be – Jack Canfield, $27.65, None
87. The Big Book of NLP| Expanded: 350+ Techniques| Patterns & Strategies of Neuro-Linguistic Programming – Shlomo Vaknin, $39.99, None
61. Love Yourself Like Your Life Depends On It – Kamal Ravikant, $43.31, None
