product_name, brand, shipping_price
ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO), N/A, Free Shipping
GIGABYTE Geforce RTX 2060 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060OC-6GD Video Card, GIGABYTE, Free Shipping
GIGABYTE GeForce GTX 1660 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR5| GV-N1660OC-6GD Video Card, GIGABYTE, Free Shipping
ASUS ROG STRIX Radeon RX 6700 XT OC Edition Gaming Graphics Card (AMD RDNA 2| PCIe 4.0| 12GB GDDR6| HDMI 2.1| DisplayPort 1.4a| Axial-tech Fan Design| 2.9-slot| Super Alloy Power II| GPU Tweak II), ASUS, Free Shipping
ASUS Cerberus GeForce GTX 1050 Ti 4GB GDDR5 Gaming Graphics Card| CERBERUS-GTX1050TI-A4G, ASUS, Free Shipping
ASUS GeForce GT 1030 2GB Phoenix Fan OC Edition HDMI DVI Graphics Card (PH-GT1030-O2G), ASUS, Free Shipping
GIGABYTE GeForce RTX 2060 OC GG Graphics Card| 2X Windforce Fans| 6GB 192-bit GDDR6| Gv-N2060OC-6GD REV2.0 Video Card, GIGABYTE, Free Shipping
ASUS TUF Gaming GeForce GTX 1650 SUPER Overclocked 4GB Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1650S-O4G-GAMING), ASUS, $49.99 Shipping
GIGABYTE GeForce GTX 1650 OC 4G Graphics Card| 2 x WINDFORCE Fans| 4GB 128-Bit GDDR5| GV-N1650OC-4GD Video Card, GIGABYTE, Free Shipping
N/A, N/A, N/A
ASUS TUF Gaming Radeon RX 6700 XT OC Edition Graphics Card (AMD RDNA 2| PCIe 4.0| 12GB GDDR6| HDMI 2.1| DisplayPort 1.4a| Dual Ball Fan Bearings| All-aluminum Shroud| Reinforced Frame| GPU Tweak II), ASUS, Free Shipping
GeForce GTX 1060 5GB DirectX 11 GDDR5 192-Bit PCI Express 2.0 x16 Video Cards Core Clock 900 MHz Frequency HDMI/ VGA /DVI/ Graphics Card ( Super ), N/A, Free Shipping
GeForce GTX 1050 Ti |4GB GDDR5 DisplayPort 128-bit Gaming Graphic Card phics Card|Low Noise Video Memory Card|Compatible with Interface for HDMI/VGA/DVI/PCI-E|640 Core 900MHz Frequency, N/A, Free Shipping
GTX 1060 3GB DirectX 11 GDDR5 128-bit PCI Express 2.0 x16 Gaming Graphic Card phics Card|Low Noise Video Memory Card|Compatible with Interface for HDMI/VGA/DVI/PCI-E|400 Core 900MHz Frequency, N/A, Free Shipping
GTX 1050 Ti |2GB GDDR5 DisplayPort 128-bit Gaming Graphic Card phics Card|Low Noise Video Memory Card|Compatible with Interface for HDMI/VGA/DVI/PCI-E|640 Core 900MHz Frequency, N/A, Free Shipping
GIGABYTE Geforce RTX 2060 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060OC-6GD Video Card, N/A, Free Shipping
GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N166TOC-6GD Video Card, GIGABYTE, Free Shipping
XFX SPEEDSTER MERC319 AMD Radeon RX 6700 XT BLACK Gaming Graphics Card with 12GB GDDR6 HDMI 3xDP| AMD RDNA 2 (RX-67XTYTBDP), XFX, Free Shipping
GIGABYTE AORUS Radeon RX 6700 XT ELITE 12G Graphics Card| WINDFORCE 3X Cooling System| 12GB 192-bit GDDR6| GV-R67XTAORUS E-12GD Video Card, GIGABYTE, Free Shipping
Yeston Radeon RX560D 4GB GDDR5 PCI Express 3.0 DirectX12 video gaming graphics card external graphics card for desktop, N/A, Free Shipping
GPVHOSO AMD Radeon RX 560 Graphics Card| 1150MHz| 4GB 128-Bit GDDR5 PCI Express 3.0 x 8| DP/HDMI/DVI-D Tri-Ports| 4K Output| DirectX 12| OpenGL 4.5| Computer GPU| Desktop Gaming Video Card, N/A, Free Shipping
GeForce GTX 1060 6GB DirectX 12 GDDR5 192-Bit PCI Express 2.0 x16 Video Cards Core Clock 1202 MHz Frequency HDMI/ VGA /DVI/ Graphics Card ( Super ), N/A, Free Shipping
GTX 1050 Ti |4GB GDDR5 128-bit Gaming Graphic Card phics Card|Low Noise Video Memory Card|Compatible with Interface for HDMI/VGA/DVI/PCI-E|750 Core 900MHz Frequency, N/A, Free Shipping
ASUS TUF Gaming GeForce GTX 1660 SUPER Overclocked 6GB Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1660S-O6G-GAMING), ASUS, $40.00 Shipping
Sapphire NITRO+ AMD RADEON RX 6900 XT SE GAMING OC Graphics Card With 16GB GDDR6 HDMI / TRIPLE DP, Sapphire Tech, Free Shipping
GIGABYTE Radeon RX 6700 XT GAMING OC 12G Graphics Card| WINDFORCE 3X Cooling System| 12GB 192-bit GDDR6| GV-R67XTGAMING OC-12GD Video Card, GIGABYTE, Free Shipping
ASUS GeForce RTX 2060 DUAL EVO 6 GB GDDR6 Graphics Card (DUAL-RTX2060-6G-EVO), ASUS, Free Shipping
ASRock Radeon RX 6700 XT Phantom Gaming D Graphic Card| 12GB GDDR6 VRAM| AMD RDNA2 (RX6700XT PGD 12GO), ASRock, Free Shipping
GIGABYTE Radeon RX 5500 XT OC 4G (rev. 2.0) Graphics Card| PCIe 4.0| 4GB 128-Bit GDDR6| GV-R55XTOC-4GD Video Card, GIGABYTE, Free Shipping
PowerColor Red Devil AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory| Powered by AMD RDNA 2| HDMI 2.1 (AXRX 6700XT 12GBD6-3DHE/OC), PowerColor, Free Shipping
ASRock OC Formula Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 x16 ATX Video Card RX6900XT OCF 16G, ASRock, Free Shipping
GIGABYTE GeForce GT 1030 Low Profile D4 2G DirectX 12 GV-N1030D4-2GL Video Card, GIGABYTE, Free Shipping
PowerColor Hellhound Spectral White AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory| Powered by AMD RDNA 2| HDMI 2.1 (AXRX 6700XT 12GBD6-3DHLV2), PowerColor, Free Shipping
ASUS DUAL Radeon RX 6700 XT Standard Edition 12GB GDDR6 Gaming Graphics Card (AMD RDNA 2| PCIe 4.0| 12GB GDDR6 Memory| HDMI 2.1| DisplayPort 1.4a| Axial-tech Fan Design| 0dB Technology), ASUS, Free Shipping
ASUS ROG Strix Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 x16 CrossFireX Support ATX Video Card ROG-STRIX-LC-RX6900XT-T16G-GAMING, ASUS, Free Shipping
MSI GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 ATX Video Card GTX 1050 Ti 4GT OC, MSI, Free Shipping
GIGABYTE Radeon RX 6800 XT GAMING OC 16G Graphics Card| WINDFORCE 3X Cooling System| 16GB 256-bit GDDR6| GV-R68XTGAMING OC-16GD Video Card| Powered by AMD RDNA 2| HDMI 2.1, GIGABYTE, Free Shipping
ASRock Radeon RX 6900 XT PHANTOM GAMING D Graphics Card 16GB GDDR6| AMD RDNA2 (RX6900XT PGD 16GO), ASRock, Free Shipping
XFX SPEEDSTER QICK319 AMD Radeon RX 6700 XT BLACK Gaming Graphics Card with 12GB GDDR6| HDMI 3 x DP| AMD RDNA 2, XFX, $80.00 Shipping
ZOTAC GAMING GeForce RTX 2060 Twin Fan 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| IceStorm 2.0| ZT-T20600F-10M, ZOTAC, Special Shipping
GIGABYTE GeForce GTX 1660 GAMING OC 6G Graphics Card| 3 x WINDFORCE Fans| 6GB 192-Bit GDDR5| GV-N1660GAMING OC-6GD Video Card, GIGABYTE, $45.00 Shipping
XFX SPEEDSTER MERC319 AMD Radeon RX 6800 XT CORE Gaming Graphics Card with 16GB GDDR6 HDMI 3 x DP| AMD RDNA 2 (RX-68XTALFD9), XFX, Free Shipping
ASUS Dual GeForce RTX 2060 Advanced OC EVO Graphics Card 6GB 192-Bit GDDR6 PCIe 3.0 x16 DirectX 12 HDCP Ready Auto-Extreme Technology 1x DVI-D 2X HDMI 2.0b 1x DisplayPort 1.4|(DUAL-RTX2060-O6G-EVO), ASUS, $79.99 Shipping
GIGABYTE Geforce RTX 2060 OC Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060OC-6GD Video Card, GIGABYTE, $40.00 Shipping
PowerColor Red Devil AMD Radeon RX 6900 XT Ultimate Gaming Graphics Card with 16GB GDDR6 Memory| Powered by AMD RDNA 2| HDMI 2.1 (AXRX 6900XTU 16GBD6-3DHE/OC), PowerColor, Free Shipping
